Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketLength,InfoPacket,Signature
2023-10-31 00:25:33,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:33,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:33,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:34,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:35,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:36,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:36,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:38,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:39,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:40,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:41,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:45,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:45,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:47,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:47,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:51,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:51,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.139,192.168.152.2,,,17,83,192.168.152.139: -> 192.168.152.2: 17 Length=83,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.139,192.168.152.2,,,17,83,192.168.152.139: -> 192.168.152.2: 17 Length=83,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:57,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:57,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:58,192.168.152.139,192.168.152.2,,,17,83,192.168.152.139: -> 192.168.152.2: 17 Length=83,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:58,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:58,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:58,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:59,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:59,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:59,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:59,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:59,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:00,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:02,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:06,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:07,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:08,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:09,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.252,,,17,64,192.168.152.1: -> 224.0.0.252: 17 Length=64,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.1,224.0.0.251,,,17,70,192.168.152.1: -> 224.0.0.251: 17 Length=70,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:10,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,20.198.119.84,49681,443,6,60,192.168.152.139:49681 -> 20.198.119.84:443 6 Length=60,192.168.152.139_20.198.119.84/6/Non-HTTP
2023-10-31 00:26:11,20.198.119.84,192.168.152.139,443,49681,6,60,20.198.119.84:443 -> 192.168.152.139:49681 6 Length=60,20.198.119.84_192.168.152.139/6/Non-HTTP
2023-10-31 00:26:11,20.198.119.84,192.168.152.139,443,49681,6,60,20.198.119.84:443 -> 192.168.152.139:49681 6 Length=60,20.198.119.84_192.168.152.139/6/Non-HTTP
2023-10-31 00:26:11,192.168.152.139,20.198.119.84,49681,443,6,60,192.168.152.139:49681 -> 20.198.119.84:443 6 Length=60,192.168.152.139_20.198.119.84/6/Non-HTTP
2023-10-31 00:26:12,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:14,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:18,192.168.152.139,192.168.152.2,,,17,71,192.168.152.139: -> 192.168.152.2: 17 Length=71,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:32,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:32,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:32,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:32,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:33,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:38,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:39,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:40,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:41,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:41,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:41,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:42,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:42,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:43,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:43,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:43,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:43,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:43,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:44,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:44,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:44,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:44,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:45,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:45,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:45,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:45,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:45,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:46,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:47,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:47,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:47,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:47,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:47,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:48,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:48,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:48,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:48,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:48,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:48,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:52,192.168.152.139,192.168.152.2,,,17,76,192.168.152.139: -> 192.168.152.2: 17 Length=76,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:26:53,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:54,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:54,192.168.152.139,192.168.152.255,,,17,258,192.168.152.139: -> 192.168.152.255: 17 Length=258,192.168.152.139_192.168.152.255/17/HTTP (Other)
2023-10-31 00:26:55,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:56,192.168.152.139,192.168.152.2,61755,53,6,66,192.168.152.139:61755 -> 192.168.152.2:53 6 Length=66,192.168.152.139_192.168.152.2/6/Non-HTTP
2023-10-31 00:26:56,192.168.152.1,239.255.255.250,,,17,217,192.168.152.1: -> 239.255.255.250: 17 Length=217,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:56,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:56,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:57,192.168.152.139,192.168.152.2,61755,53,6,66,192.168.152.139:61755 -> 192.168.152.2:53 6 Length=66,192.168.152.139_192.168.152.2/6/Non-HTTP
2023-10-31 00:26:57,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:57,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:59,192.168.152.139,192.168.152.2,61755,53,6,66,192.168.152.139:61755 -> 192.168.152.2:53 6 Length=66,192.168.152.139_192.168.152.2/6/Non-HTTP
2023-10-31 00:26:59,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:59,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:59,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:59,192.168.152.1,239.255.255.250,,,17,179,192.168.152.1: -> 239.255.255.250: 17 Length=179,192.168.152.1_239.255.255.250/17/HTTP (Other)
2023-10-31 00:26:59,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:59,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:59,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:59,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:26:59,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:26:59,192.168.152.1,224.0.0.22,,,2,62,192.168.152.1: -> 224.0.0.22: 2 Length=62,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:01,34.117.65.55,192.168.152.139,443,49867,6,60,34.117.65.55:443 -> 192.168.152.139:49867 6 Length=60,34.117.65.55_192.168.152.139/6/Non-HTTP
2023-10-31 00:27:01,152.195.38.76,192.168.152.139,80,49839,6,60,152.195.38.76:80 -> 192.168.152.139:49839 6 Length=60,152.195.38.76_192.168.152.139/6/Non-HTTP
2023-10-31 00:27:01,192.168.152.2,192.168.152.139,53,61755,6,60,192.168.152.2:53 -> 192.168.152.139:61755 6 Length=60,192.168.152.2_192.168.152.139/6/Non-HTTP
2023-10-31 00:27:01,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:01,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:01,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:27:01,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:27:01,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:01,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:01,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:02,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:02,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:02,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:02,192.168.152.1,224.0.0.251,,,17,79,192.168.152.1: -> 224.0.0.251: 17 Length=79,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:27:02,192.168.152.1,224.0.0.251,,,17,117,192.168.152.1: -> 224.0.0.251: 17 Length=117,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:27:03,192.168.152.1,224.0.0.22,,,2,60,192.168.152.1: -> 224.0.0.22: 2 Length=60,192.168.152.1_224.0.0.22/2/HTTP (Other)
2023-10-31 00:27:04,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:27:04,192.168.152.1,224.0.0.251,,,17,82,192.168.152.1: -> 224.0.0.251: 17 Length=82,192.168.152.1_224.0.0.251/17/Non-HTTP
